Marisa	NP	Marisa
I	PP	I
haven	VBP	haven
'	''	'
t	NN	t
talked	VBD	talk
to	TO	to
this	DT	this
person	NN	person
in	IN	in
a	DT	a
few	JJ	few
months	NNS	month
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
assume	VB	assume
that	DT	that
friendship	NN	friendship
is	VBZ	be
asleep	JJ	asleep
,	,	,
not	RB	not
that	IN	that
it	PP	it
'	POS	'
s	NN	S
dead	NN	dead
,	,	,
so	RB	so
that	IN	that
I	PP	I
can	MD	can
reconvene	NN	reconvene
this	DT	this
friendship	NN	friendship
at	IN	at
any	DT	any
time	NN	time
.	SENT	.
"	''	"
Right	RB	right
?	SENT	?
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
being	VBG	be
able	JJ	able
to	TO	to
recognize	VB	recognize
that	IN	that
our	PP$	our
friendships	NNS	friendship
ebb	NN	ebb
and	CC	and
flow	NN	flow
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
at	IN	at
an	DT	an
ebb	NN	ebb
,	,	,
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	NN	mean
,	,	,
"	``	"
OK	UH	OK
,	,	,
I	PP	I
'	POS	'
m	NN	m
never	RB	never
going	VBG	go
to	TO	to
contact	VB	contact
this	DT	this
person	NN	person
again	RB	again
,	,	,
because	IN	because
the	DT	the
friendship	NN	friendship
is	VBZ	be
officially	RB	officially
over	RB	over
.	SENT	.
"	``	"
We	PP	we
assume	VBP	assume
that	IN	that
this	DT	this
ebb	NN	ebb
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
normal	JJ	normal
process	NN	process
to	TO	to
flow	VB	flow
again	RB	again
.	SENT	.
So	RB	so
that	DT	that
facilitates	VBZ	facilitate
us	PP	us
being	VBG	be
able	JJ	able
to	TO	to
re-engage	NN	<unknown>
in	IN	in
the	DT	the
friendship	NN	friendship
at	IN	at
any	DT	any
time	NN	time
.	SENT	.
So	RB	so
basically	RB	basically
,	,	,
this	DT	this
all	RB	all
goes	VBZ	go
back	RB	back
to	TO	to
,	,	,
I	PP	I
really	RB	really
think	VBP	think
,	,	,
this	DT	this
tip	NN	tip
,	,	,
right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
an	DT	an
all	RB	all
encompassing	VBG	encompass
tip	NN	tip
,	,	,
right	RB	right
?	SENT	?
Because	IN	because
what	WP	what
I	PP	I
'	POS	'
m	NN	m
basically	RB	basically
telling	VBG	tell
you	PP	you
is	VBZ	be
to	TO	to
assume	VB	assume
people	NNS	people
like	IN	like
you	PP	you
,	,	,
right	RB	right
?	SENT	?
Like	IN	like
,	,	,
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
talk	NN	talk
to	TO	to
your	PP$	your
friend	NN	friend
awhile	RB	awhile
,	,	,
assume	VBP	assume
that	IN	that
they	PP	they
'	POS	'
re	NN	re
still	RB	still
interested	JJ	interested
in	IN	in
being	VBG	be
friends	NNS	friend
with	IN	with
you	PP	you
.	SENT	.
Again	RB	again
,	,	,
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
about	RB	about
,	,	,
you	PP	you
know	VBP	know
,	,	,
being	VBG	be
delusional	JJ	delusional
.	SENT	.
If	IN	if
someone	NN	someone
'	POS	'
s	NN	S
clearly	RB	clearly
indicating	VBG	indicate
that	IN	that
they	PP	they
'	POS	'
re	NN	re
not	RB	not
interested	JJ	interested
in	IN	in
a	DT	a
friendship	NN	friendship
with	IN	with
you	PP	you
,	,	,
then	RB	then
move	VB	move
on	RP	on
.	SENT	.
But	CC	but
if	IN	if
it	PP	it
'	POS	'
s	JJ	<unknown>
ambiguous	JJ	ambiguous
and	CC	and
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
not	RB	not
really	RB	really
sure	JJ	sure
,	,	,
we	PP	we
haven	VBP	haven
'	''	'
t	NN	t
talked	VBN	talk
for	IN	for
a	DT	a
while	NN	while
,	,	,
but	CC	but
they	PP	they
haven	NN	haven
'	POS	'
t	NN	t
necessarily	RB	necessarily
rejected	VBD	reject
me	PP	me
or	CC	or
they	PP	they
still	RB	still
are	VBP	be
responsive	JJ	responsive
when	WRB	when
I	PP	I
reach	VBP	reach
out	RP	out
to	TO	to
them	PP	them
,	,	,
"	``	"
you	PP	you
want	VBP	want
to	TO	to
make	VB	make
that	IN	that
your	PP$	your
running	VBG	run
assumption	NN	assumption
in	IN	in
response	NN	response
to	TO	to
ambiguity	NN	ambiguity
,	,	,
because	IN	because
again	RB	again
,	,	,
having	VBG	have
that	DT	that
assumption	NN	assumption
really	RB	really
facilitates	VBZ	facilitate
continued	JJ	continued
connection	NN	connection
.	SENT	.
[	SYM	[
Want	NP	Want
to	TO	to
support	VB	support
TED	VB	ted
?	SENT	?
]	SYM	]
[	SYM	[
Become	VBN	become
a	DT	a
TED	VBP	ted
Member	NP	Member
!	SENT	!
]	SYM	]
[	SYM	[
Learn	NP	Learn
more	RBR	more
at	IN	at
ted	VB	ted
.	SENT	.
com	NN	com
/	SYM	/
membership	NN	membership
]	SYM	]
